weighted F1,Neutral,Open,Pistol,Thumb,OK,Grab,comb
0.9074657259450108,0.9341719077568135,0.8745942755975213,0.8434299092771437,0.9004250151791136,0.824332712600869,0.8840222085132634,8_16_17_28
0.9141962774283527,0.9357127499462481,0.8938103350369109,0.8807232429279673,0.8745558895873189,0.8582241630276565,0.9029437481783736,8_16_22_28
0.9072315532605548,0.9328385359819544,0.8849315068493151,0.8749317312943746,0.8633557046979866,0.823045267489712,0.8984081041968162,8_17_22_28
0.9086137883430649,0.9344139157936351,0.8701657458563536,0.8384470882905448,0.893908281998631,0.8379418970948548,0.8966942148760331,9_12_16_17
0.9081338869462939,0.9337908760597498,0.8922470433639947,0.8437810945273632,0.8432835820895522,0.863405336721728,0.9059550927432476,9_12_16_22
0.9068385813794395,0.9295947605403193,0.8607677293428757,0.8640423420443268,0.8770126755738267,0.8552803129074316,0.9074324324324324,9_12_16_28
0.9119220697351282,0.9379395434916719,0.8885288399222294,0.881771924573481,0.8454164170161773,0.8502446982055465,0.8977236293683873,9_12_17_22
0.9104389974143204,0.9347681014347681,0.8675857646681628,0.8813974869751762,0.8850921273031825,0.829189538262835,0.9069920844327177,9_12_17_28
0.9053601725738192,0.9283449044313019,0.8725845410628019,0.886286594761171,0.8460620525059666,0.8587257617728532,0.9018250471994965,9_12_22_28
0.9114493955184961,0.9370905248326876,0.9078638497652582,0.8561965222191554,0.8572972972972973,0.8361320208453966,0.896551724137931,9_16_17_22
0.9102123461863494,0.9354473386183465,0.8704723268617792,0.85250569476082,0.8986119493059747,0.8370436331255565,0.8937080024434942,9_16_17_28
0.914705801088775,0.9368688703232837,0.8861945439515018,0.8924032759107596,0.8648354636932282,0.8655297735532569,0.8988304093567251,9_16_22_28
0.9135416364841062,0.9400982476721167,0.900330396475771,0.8608742004264393,0.8578431372549019,0.8452213137862983,0.9057576625608708,9_17_22_28
0.9061235613163181,0.9356379879588269,0.8788401794960303,0.8509944571242256,0.8247099404201944,0.8403132448076268,0.8979048885932823,12_16_17_22
0.9028352925738574,0.9320639398213446,0.8486468426328099,0.8362905925677938,0.8730496453900709,0.8283687943262411,0.8940123881624226,12_16_17_28
0.9032657750775318,0.9283764252449013,0.8739656269891789,0.8544474393530997,0.8287888395688016,0.8760385510136258,0.8946853602869254,12_16_22_28
0.9053716043512836,0.9316403850092156,0.8702481935281181,0.8746535263319988,0.8338962235185754,0.8510498687664042,0.8992248062015504,12_17_22_28
0.9067302585181451,0.9358111641853492,0.8829908675799086,0.8370044052863436,0.8419005279244235,0.8437781109445277,0.8978400467016929,16_17_22_28
0.909587792988841,0.9340222326600908,0.8818644521832306,0.8520420640743458,0.9066249347939489,0.8207750269106566,0.8970627150039693,8_9_12_16_17
0.9082450796794826,0.9311686654758867,0.8950361944157187,0.8667339727410399,0.8576158940397351,0.8481939883809043,0.9042145593869731,8_9_12_16_22
0.9117870850552117,0.9329530158323185,0.8718741943799948,0.8644198610753795,0.9002597402597402,0.8592207792207792,0.9079497907949791,8_9_12_16_28
0.9120249175263638,0.9350363783346807,0.9002544529262086,0.8826423049894588,0.8650292397660819,0.8350859194665299,0.9066265060240963,8_9_12_17_22
0.9115500969657749,0.933337688212431,0.8778761061946903,0.8728813559322034,0.9011156186612576,0.8385909568874869,0.9071902090770015,8_9_12_17_28
0.9107235779791227,0.931841572324956,0.8870333988212181,0.8919573643410853,0.8656785548865216,0.8555694618272841,0.9052787370498273,8_9_12_22_28
0.9115537868026022,0.9372496662216289,0.9048855322161907,0.8610244988864143,0.873320114562679,0.8283968030089328,0.8913910391742904,8_9_16_17_22
0.9102917881763524,0.9351650862561407,0.8877382913626736,0.853514739229025,0.9009139009139009,0.8243114909781576,0.8938117023838189,8_9_16_17_28
